name,comm_cost,complexity,type
explored-64,0.5266493055555558,11,explored
explored-65,0.5812500000000002,9,explored
explored-66,0.41666666666666696,8,explored
explored-67,0.3826388888888892,13,explored
explored-68,0.7375,8,explored
explored-69,0.6184548611111111,16,explored
explored-70,0.5977430555555557,6,explored
explored-71,0.5071180555555558,13,explored
explored-72,0.45078125000000013,11,explored
explored-73,0.5039351851851854,18,explored
explored-74,0.533246527777778,15,explored
explored-75,0.48255208333333344,8,explored
explored-76,0.5653645833333334,11,explored
explored-77,0.3982638888888891,15,explored
explored-78,0.71875,11,explored
explored-79,0.30740162037037067,26,explored
explored-80,0.7419212962962964,7,explored
explored-81,0.5560590277777778,13,explored
explored-82,0.45916666666666683,9,explored
explored-83,0.5310763888888891,12,explored
explored-84,0.4711574074074075,17,explored
explored-85,0.18750000000000022,12,explored
explored-86,0.4768229166666669,19,explored
explored-87,0.5573784722222224,9,explored
explored-88,0.5409722222222224,11,explored
explored-89,0.40453703703703714,21,explored
explored-90,0.7695312500000001,12,explored
explored-91,0.5457754629629631,12,explored
explored-92,0.6255208333333335,11,explored
explored-93,0.5243055555555556,7,explored
explored-94,0.30370370370370403,17,explored
explored-95,0.6719618055555556,22,explored
explored-96,0.6682638888888891,12,explored
explored-97,0.38628472222222243,21,explored
explored-98,0.3622685185185187,18,explored
explored-99,0.5750000000000002,6,explored
explored-100,0.7133680555555557,16,explored
explored-101,0.32881944444444455,21,explored
explored-102,0.29953703703703727,21,explored
explored-103,0.2812500000000002,15,explored
explored-104,0.5556423611111113,10,explored
explored-105,0.36137152777777803,25,explored
explored-106,0.6241666666666668,10,explored
explored-107,0.45000000000000007,13,explored
explored-108,0.6847222222222222,11,explored
explored-109,0.5352430555555557,18,explored
explored-110,0.5171875000000001,11,explored
explored-111,0.5483333333333336,7,explored
explored-112,0.5041666666666669,12,explored
explored-113,0.7500868055555556,11,explored
explored-114,0.6760416666666668,16,explored
explored-115,0.46108217592592604,12,explored
explored-116,0.4755787037037039,21,explored
explored-117,0.4995312500000002,11,explored
explored-118,0.68125,5,explored
explored-119,0.5867187500000002,16,explored
explored-120,0.6846932870370371,8,explored
explored-121,0.8169270833333333,3,explored
explored-122,0.49140625000000004,10,explored
explored-123,0.43415798611111134,22,explored
explored-124,0.7193287037037038,7,explored
explored-125,0.31267361111111125,19,explored
explored-126,0.6487152777777779,13,explored
explored-127,0.7184837962962964,15,explored
explored-128,0.53,7,explored
explored-129,0.6335069444444446,10,explored
explored-130,0.4613425925925928,14,explored
explored-131,0.5505555555555557,13,explored
explored-132,0.30572916666666683,25,explored
explored-133,0.40347222222222245,8,explored
explored-134,0.33984375000000033,16,explored
explored-135,0.5923784722222224,12,explored
explored-136,0.4276041666666669,17,explored
explored-137,0.4764756944444446,21,explored
explored-138,0.6879687500000001,6,explored
explored-139,0.6660011574074075,11,explored
explored-140,0.38437500000000013,11,explored
explored-141,0.665234375,10,explored
explored-142,0.4487500000000002,12,explored
explored-143,0.6545138888888891,11,explored
explored-144,0.7322337962962965,10,explored
explored-145,0.6294270833333334,14,explored
explored-146,0.4441666666666668,8,explored
explored-147,0.7072916666666668,12,explored
explored-148,0.47621527777777795,17,explored
explored-149,0.6122395833333335,11,explored
explored-150,0.46692708333333355,20,explored
explored-151,0.8401041666666668,3,explored
explored-152,0.5184895833333336,21,explored
explored-153,0.43333333333333324,9,explored
explored-154,0.37951388888888915,17,explored
explored-155,0.365104166666667,21,explored
explored-156,0.39279513888888906,18,explored
explored-157,0.7562500000000001,2,explored
explored-158,0.36788194444444466,21,explored
explored-159,0.5864351851851853,12,explored
explored-160,0.318229166666667,9,explored
explored-161,0.7048900462962964,5,explored
explored-162,0.7560763888888888,11,explored
explored-163,0.6505787037037039,14,explored
explored-164,0.5472222222222225,18,explored
explored-165,0.5739583333333335,14,explored
explored-166,0.6038483796296298,41,explored
explored-167,0.5354166666666669,10,explored
explored-168,0.7335358796296297,3,explored
explored-169,0.5738275462962964,20,explored
explored-170,0.5897743055555557,20,explored
explored-171,0.4666666666666668,17,explored
explored-172,0.4489930555555557,13,explored
explored-173,0.677326388888889,9,explored
explored-174,0.4799189814814816,16,explored
explored-175,0.6711226851851853,16,explored
explored-176,0.7807638888888888,10,explored
explored-177,0.5695312500000003,7,explored
explored-178,0.5713541666666668,10,explored
