index,term_expression,original_index
1065,"and(not(and(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(A), difference(B, A)), A))",1195
1066,"subset_eq(difference(B, index(cardinality(A), difference(B, A))), index(cardinality(difference(A, A)), B))",7402
1067,"subset_eq(difference(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), A))",7523
1068,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",1454
1069,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), union(A, B))), difference(difference(B, A), index(cardinality(A), union(A, B))))",6274
1070,"or(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(A), union(A, B)), A))",4687
1071,"and(not(greater_than(cardinality(B), cardinality(A))), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",1615
1072,"subset_eq(index(cardinality(difference(A, B)), B), union(index(cardinality(A), B), index(cardinality(B), A)))",8649
1073,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), A)",5514
1074,"or(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4693
1075,"subset_eq(index(cardinality(intersection(A, B)), A), index(cardinality(intersection(A, B)), B))",8427
1076,"greater_than(cardinality(intersection(A, B)), cardinality(index(cardinality(A), difference(B, A))))",1764
1077,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), union(difference(B, A), index(cardinality(B), union(A, B))))",6314
1078,"subset_eq(index(cardinality(intersection(A, B)), difference(A, B)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",8901
1079,"not(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",252
1080,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), union(A, B))), intersection(A, B))",2177
1081,"and(greater_than(cardinality(A), cardinality(B)), subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",412
1082,"subset_eq(index(cardinality(difference(A, B)), B), index(cardinality(intersection(A, B)), A))",8679
1083,"subset_eq(intersection(index(cardinality(B), A), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(A, B)))",7227
1084,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), index(cardinality(intersection(A, B)), B))",7864
1085,"subset_eq(difference(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), A))",7525
1086,"or(subset_eq(B, index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), A))",4259
1087,"and(subset_eq(index(cardinality(A), union(A, B)), A), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))))",2262
1088,"subset_eq(index(cardinality(difference(A, B)), difference(B, A)), difference(B, index(cardinality(A), B)))",9125
1089,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), index(cardinality(A), B)))",8012
1090,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), difference(A, B)))",6486
1091,"or(and(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(A, index(cardinality(A), union(A, B))))",3218
1092,"subset_eq(union(intersection(A, B), index(cardinality(B), difference(A, B))), difference(B, index(cardinality(B), union(A, B))))",2430
1093,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), difference(A, B))), index(cardinality(A), B))",2427
1094,"and(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), difference(A, B)), B))",2147
1095,"and(not(subset_eq(B, A)), subset_eq(intersection(A, B), index(cardinality(A), B)))",290
1096,"and(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), greater_than(cardinality(difference(A, B)), cardinality(B)))",584
1097,"and(or(subset_eq(A, B), subset_eq(A, difference(A, B))), not(subset_eq(union(A, B), difference(A, A))))",696
1098,"subset_eq(index(cardinality(difference(A, B)), A), index(cardinality(B), union(difference(A, B), difference(B, A))))",8623
1099,"subset_eq(index(cardinality(difference(B, A)), A), intersection(B, index(cardinality(B), union(A, B))))",8711
1100,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), difference(B, index(cardinality(A), B)))",9420
1101,"subset_eq(difference(difference(B, A), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7688
1102,"subset_eq(difference(A, index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), A))",7316
1103,"subset_eq(difference(A, index(cardinality(A), B)), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",7245
1104,"subset_eq(difference(B, A), union(index(cardinality(A), B), index(cardinality(A), union(A, B))))",5312
1105,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",8368
1106,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",2741
1107,"subset_eq(difference(B, index(cardinality(A), B)), union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",7339
1108,"or(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",4941
1109,"subset_eq(index(cardinality(intersection(A, B)), B), intersection(A, index(cardinality(A), union(A, B))))",8460
1110,"or(subset_eq(B, A), subset_eq(index(cardinality(B), difference(A, B)), B))",2881
1111,"and(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2031
1112,"or(subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",5041
1113,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(intersection(A, B)), B))",8040
1114,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(B, A)))",6544
1115,"and(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",1988
1116,"subset_eq(union(difference(B, A), index(cardinality(B), difference(A, B))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",6071
1117,"and(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), subset_eq(intersection(A, B), index(cardinality(B), A)))",1044
1118,"subset_eq(index(cardinality(difference(A, A)), intersection(A, B)), index(cardinality(intersection(A, B)), union(A, B)))",8965
1119,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), difference(B, index(cardinality(A), difference(B, A))))",6331
1120,"and(subset_eq(index(cardinality(B), union(A, B)), A), greater_than(cardinality(difference(B, A)), cardinality(A)))",2093
1121,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), difference(B, A))))",3366
1122,"subset_eq(index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))), index(cardinality(difference(B, A)), difference(A, B)))",9506
1123,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(difference(A, B), index(cardinality(A), union(A, B))))",1462
1124,"subset_eq(index(cardinality(intersection(A, B)), B), index(cardinality(difference(A, A)), difference(B, A)))",8492
1125,"or(equals(cardinality(A), cardinality(B)), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",3082
1126,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",9412
1127,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), index(cardinality(difference(A, A)), difference(A, B)))",8186
1128,"and(or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), difference(A, B)), B))",1150
1129,"or(subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4872
1130,"subset_eq(difference(index(cardinality(A), difference(B, A)), index(cardinality(A), B)), index(cardinality(difference(B, A)), B))",8058
1131,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(difference(A, B)), intersection(A, B)))",9223
1132,"or(subset_eq(index(cardinality(A), union(A, B)), A), greater_than(cardinality(difference(A, B)), cardinality(B)))",3535
1133,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), index(cardinality(intersection(A, B)), index(cardinality(A), B)))",8337
1134,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), index(cardinality(difference(B, A)), difference(A, B)))",9097
1135,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), union(index(cardinality(A), B), index(cardinality(B), A)))",9281
1136,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), A)",5520
1137,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",1734
1138,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(intersection(A, B)), index(cardinality(A), B)))",8054
1139,"or(and(not(subset_eq(A, B)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",3275
1140,"or(subset_eq(B, index(cardinality(A), union(A, B))), greater_than(cardinality(difference(A, B)), cardinality(B)))",4284
1141,"or(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(difference(A, B), index(cardinality(B), A)))",3823
1142,"or(or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",3834
1143,"or(not(greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",4019
1144,"subset_eq(index(cardinality(difference(A, B)), difference(B, A)), index(cardinality(difference(B, A)), union(A, B)))",9140
1145,"and(or(subset_eq(B, A), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",995
1146,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), union(A, B))), difference(B, A))",1634
1147,"subset_eq(index(cardinality(difference(B, A)), B), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",8819
1148,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",1390
1149,"or(subset_eq(A, B), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2859
1150,"equals(cardinality(intersection(A, B)), cardinality(index(cardinality(A), union(A, B))))",9522
1151,"and(not(greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))))",1637
1152,"and(subset_eq(index(cardinality(A), union(A, B)), A), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2270
1153,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), difference(A, B))), index(cardinality(A), union(difference(A, B), difference(B, A))))",6815
1154,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(B, index(cardinality(A), union(A, B))))",9058
1155,"subset_eq(index(cardinality(difference(A, B)), B), index(cardinality(difference(A, B)), intersection(A, B)))",8691
1156,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), B)), index(cardinality(difference(B, A)), index(cardinality(B), difference(A, B))))",8108
1157,"subset_eq(union(intersection(A, B), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), index(cardinality(B), A)))",5903
1158,"and(not(greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), union(A, B)), A))",1597
1159,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",9343
1160,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), union(index(cardinality(A), B), index(cardinality(B), union(A, B))))",5788
1161,"or(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",4982
1162,"and(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",2023
1163,"and(subset_eq(index(cardinality(B), union(A, B)), difference(A, B)), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",2595
1164,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), difference(B, A)))",6978
1165,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), union(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",9171
1166,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), difference(union(difference(A, B), difference(B, A)), index(cardinality(B), difference(A, B))))",7990
1167,"or(subset_eq(index(cardinality(A), union(A, B)), B), subset_eq(index(cardinality(B), difference(A, B)), B))",4622
1168,"subset_eq(union(difference(B, A), index(cardinality(B), A)), difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",6019
1169,"subset_eq(index(cardinality(A), B), index(cardinality(difference(A, B)), intersection(A, B)))",5361
1170,"and(not(subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), B)))",1786
1171,"subset_eq(difference(difference(A, B), index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), union(A, B)))",7576
1172,"or(and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",3481
1173,"and(or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",1570
1174,"and(not(and(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(B), union(A, B)), A))",1196
1175,"and(and(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",578
1176,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",1737
1177,"subset_eq(index(cardinality(difference(A, B)), A), index(cardinality(difference(A, B)), index(cardinality(A), B)))",8599
1178,"subset_eq(index(cardinality(difference(A, A)), union(A, B)), A)",5510
1179,"subset_eq(index(cardinality(difference(A, B)), index(cardinality(A), B)), union(A, index(cardinality(A), difference(B, A))))",9450
1180,"and(or(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(index(cardinality(B), difference(A, B)), B))",883
1181,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",1277
1182,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, A)), intersection(A, B)))",8227
1183,"subset_eq(index(cardinality(intersection(A, B)), A), difference(difference(A, B), index(cardinality(B), union(A, B))))",8417
1184,"and(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",2085
1185,"subset_eq(difference(difference(B, A), index(cardinality(A), B)), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",7627
1186,"and(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(A, index(cardinality(B), union(A, B))))",828
1187,"and(subset_eq(index(cardinality(A), union(A, B)), difference(A, B)), equals(cardinality(A), cardinality(difference(B, A))))",2538
1188,"and(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(A), union(A, B)), A))",483
1189,"and(subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))), greater_than(cardinality(B), cardinality(difference(A, B))))",2676
1190,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(A, B)))",6789
1191,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(intersection(A, B)), difference(B, A)))",9219
1192,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(intersection(A, B), index(cardinality(A), B)))",6689
1193,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B)), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2737
1194,"subset_eq(intersection(A, B), index(cardinality(difference(A, B)), A))",5281
1195,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), intersection(A, index(cardinality(A), union(A, B))))",6119
1196,"subset_eq(intersection(index(cardinality(A), B), index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), B))",7204
1197,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",1728
1198,"subset_eq(index(cardinality(difference(B, A)), B), A)",5507
1199,"or(subset_eq(B, difference(A, A)), subset_eq(A, index(cardinality(A), union(A, B))))",3032
1200,"or(greater_than(cardinality(A), cardinality(B)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3149
1201,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",1334
1202,"subset_eq(difference(intersection(A, B), index(cardinality(A), B)), index(cardinality(difference(B, A)), union(A, B)))",7480
1203,"and(subset_eq(difference(B, A), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",2127
1204,"or(and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), difference(B, A))))",3499
1205,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), union(A, B))), difference(difference(A, B), index(cardinality(A), union(A, B))))",6523
1206,"or(subset_eq(B, A), subset_eq(intersection(A, B), index(cardinality(A), B)))",2873
1207,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), index(cardinality(B), A))",5548
1208,"subset_eq(difference(B, index(cardinality(A), B)), index(cardinality(difference(B, A)), A))",5702
1209,"subset_eq(index(cardinality(intersection(A, B)), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), B))",9358
1210,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(B, index(cardinality(A), difference(B, A))))",9187
1211,"and(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(intersection(A, B), index(cardinality(B), union(A, B))))",831
1212,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(intersection(A, B)), A))",9211
1213,"subset_eq(index(cardinality(intersection(A, B)), union(A, B)), union(intersection(A, B), index(cardinality(A), difference(B, A))))",8828
1214,"subset_eq(intersection(A, index(cardinality(A), union(A, B))), difference(index(cardinality(B), union(A, B)), B))",6892
1215,"subset_eq(intersection(B, index(cardinality(B), union(A, B))), union(index(cardinality(B), A), index(cardinality(A), difference(B, A))))",6993
1216,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), union(A, B))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",6411
1217,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(B), A)), difference(index(cardinality(A), B), A))",8115
1218,"or(and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B))), or(subset_eq(A, difference(A, A)), subset_eq(B, difference(A, A))))",3235
1219,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",8317
1220,"and(subset_eq(index(cardinality(B), union(A, B)), A), greater_than(cardinality(difference(A, B)), cardinality(B)))",2370
1221,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), index(cardinality(B), union(A, B)))",982
1222,"and(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",598
1223,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), or(subset_eq(A, B), equals(cardinality(A), cardinality(B))))",3515
1224,"and(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), A), difference(A, B)))",1057
1225,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), index(cardinality(difference(A, A)), A))",8177
1226,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(A), difference(B, A)), A))",1812
1227,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",1256
1228,"subset_eq(difference(B, index(cardinality(B), A)), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",7361
1229,"subset_eq(index(cardinality(difference(A, A)), union(A, B)), difference(A, index(cardinality(B), A)))",8931
1230,"subset_eq(difference(difference(B, A), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",7686
1231,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), difference(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",6472
1232,"or(greater_than(cardinality(B), cardinality(A)), subset_eq(index(cardinality(B), union(A, B)), A))",3170
1233,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), difference(difference(B, A), index(cardinality(A), difference(B, A))))",8166
1234,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",9074
1235,"or(subset_eq(difference(A, B), index(cardinality(B), A)), greater_than(cardinality(difference(B, A)), cardinality(A)))",3574
1236,"or(subset_eq(index(cardinality(B), A), B), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4725
1237,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), union(A, B))), union(A, index(cardinality(A), difference(B, A))))",6194
1238,"subset_eq(difference(difference(A, B), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(A, B)))",7618
1239,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), union(A, B))), difference(A, B))",1602
1240,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), difference(A, index(cardinality(A), B)))",7975
1241,"subset_eq(difference(index(cardinality(A), B), A), index(cardinality(difference(A, B)), index(cardinality(A), difference(B, A))))",7097
1242,"subset_eq(index(cardinality(difference(A, A)), difference(B, A)), difference(B, index(cardinality(A), union(A, B))))",8997
1243,"subset_eq(index(cardinality(difference(A, A)), difference(A, B)), intersection(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",8972
1244,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), index(cardinality(B), difference(A, B))))",6803
1245,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), greater_than(cardinality(A), cardinality(difference(B, A))))",1480
1246,"and(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",2187
1247,"subset_eq(intersection(A, index(cardinality(B), union(A, B))), difference(B, index(cardinality(A), union(A, B))))",6924
1248,"subset_eq(index(cardinality(intersection(A, B)), union(A, B)), union(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",8837
1249,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), union(index(cardinality(A), B), index(cardinality(B), union(A, B))))",9283
1250,"not(subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))))",5227
1251,"and(or(not(subset_eq(A, B)), subset_eq(B, difference(A, A))), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",1299
1252,"subset_eq(difference(B, index(cardinality(B), union(A, B))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",7407
1253,"and(or(subset_eq(A, B), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), union(A, B))))",723
1254,"subset_eq(difference(index(cardinality(B), union(A, B)), intersection(A, B)), index(cardinality(difference(A, B)), A))",7183
1255,"and(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",557
1256,"subset_eq(intersection(A, B), difference(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",2011
1257,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), difference(A, index(cardinality(B), A)))",7937
1258,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",9207
1259,"and(or(subset_eq(A, B), equals(cardinality(A), cardinality(B))), greater_than(cardinality(B), cardinality(difference(A, B))))",770
1260,"subset_eq(difference(difference(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), difference(A, B)))",7598
1261,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2744
1262,"or(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), greater_than(cardinality(A), cardinality(difference(B, A))))",4456
1263,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",4591
1264,"subset_eq(index(cardinality(A), B), index(cardinality(difference(B, A)), B))",3996
1265,"or(subset_eq(B, index(cardinality(B), union(A, B))), greater_than(cardinality(difference(A, B)), cardinality(B)))",4325
1266,"or(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), greater_than(cardinality(A), cardinality(difference(B, A))))",4921
1267,"or(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",3438
1268,"subset_eq(index(cardinality(intersection(A, B)), A), union(index(cardinality(A), B), index(cardinality(A), union(A, B))))",8398
1269,"and(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",2195
1270,"equals(cardinality(B), cardinality(index(cardinality(B), union(A, B))))",9517
1271,"and(subset_eq(index(cardinality(B), A), difference(A, B)), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",2492
1272,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(B), union(A, B)), A))",642
1273,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), difference(A, index(cardinality(B), difference(A, B))))",8157
1274,"or(subset_eq(B, index(cardinality(B), A)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",4236
1275,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",1413
1276,"subset_eq(union(intersection(A, B), index(cardinality(B), difference(A, B))), union(index(cardinality(B), A), index(cardinality(B), union(A, B))))",5884
1277,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(A, index(cardinality(B), union(A, B))))",3571
1278,"and(or(not(subset_eq(A, B)), subset_eq(B, difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",1309
1279,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), difference(index(cardinality(A), B), index(cardinality(B), union(A, B))))",6469
1280,"and(or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), A))",1493
1281,"and(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",1899
