index,term_expression,original_index
157,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(A, B)))",6721
158,"subset_eq(difference(difference(A, B), index(cardinality(B), A)), union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",7538
159,"and(subset_eq(index(cardinality(A), B), difference(B, A)), subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))))",2444
160,"and(subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2701
161,"and(subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",2504
162,"or(subset_eq(B, A), subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))))",2888
163,"not(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))))",1588
164,"subset_eq(union(intersection(A, B), index(cardinality(B), A)), index(cardinality(A), B))",1619
165,"or(subset_eq(A, index(cardinality(B), union(A, B))), subset_eq(B, index(cardinality(B), union(A, B))))",4164
166,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), index(cardinality(B), difference(A, B)))",5556
167,"subset_eq(index(cardinality(A), union(A, B)), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",5434
168,"or(subset_eq(index(cardinality(B), A), B), subset_eq(index(cardinality(B), union(A, B)), A))",4710
169,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",810
170,"subset_eq(difference(index(cardinality(A), B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(B, A)))",7809
171,"and(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), A))",835
172,"and(or(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(index(cardinality(B), A), difference(A, B)))",885
173,"subset_eq(difference(B, index(cardinality(A), B)), union(index(cardinality(B), A), index(cardinality(A), union(A, B))))",7337
174,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), difference(B, index(cardinality(B), union(A, B))))",9307
175,"subset_eq(index(cardinality(intersection(A, B)), difference(B, A)), difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",8916
176,"or(greater_than(cardinality(A), cardinality(B)), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",199
177,"or(not(equals(cardinality(A), cardinality(B))), subset_eq(difference(A, B), index(cardinality(A), union(A, B))))",4032
178,"or(subset_eq(B, index(cardinality(B), A)), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",4228
179,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), index(cardinality(difference(A, A)), difference(B, A)))",7875
180,"subset_eq(difference(B, index(cardinality(A), union(A, B))), index(cardinality(difference(A, A)), A))",7385
181,"subset_eq(difference(A, index(cardinality(B), A)), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",7285
182,"subset_eq(intersection(index(cardinality(B), A), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), B))",7217
183,"and(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",2801
184,"subset_eq(union(difference(A, B), index(cardinality(A), B)), index(cardinality(difference(B, A)), intersection(A, B)))",5929
185,"and(subset_eq(index(cardinality(A), B), A), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2199
186,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), A))",6711
187,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), difference(A, B)))",6430
188,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), equals(cardinality(A), cardinality(difference(B, A))))",4583
189,"subset_eq(difference(index(cardinality(A), union(A, B)), A), index(cardinality(difference(A, B)), index(cardinality(A), difference(B, A))))",7113
190,"subset_eq(intersection(A, index(cardinality(B), union(A, B))), index(cardinality(A), B))",4978
191,"subset_eq(union(difference(A, B), index(cardinality(A), B)), index(cardinality(difference(A, A)), difference(A, B)))",5926
192,"or(subset_eq(B, A), equals(cardinality(A), cardinality(difference(B, A))))",2893
193,"or(subset_eq(B, index(cardinality(A), union(A, B))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",4255
194,"and(subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))), subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",2654
195,"and(subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)), equals(cardinality(B), cardinality(difference(A, B))))",2512
196,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), intersection(intersection(A, B), index(cardinality(B), union(A, B))))",7844
197,"or(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4301
198,"and(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), not(subset_eq(B, difference(A, A))))",826
199,"subset_eq(union(intersection(A, B), index(cardinality(B), union(A, B))), union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",5852
200,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), B)), difference(union(difference(A, B), difference(B, A)), index(cardinality(A), union(A, B))))",8083
201,"subset_eq(index(cardinality(intersection(A, B)), difference(B, A)), intersection(index(cardinality(A), B), index(cardinality(B), union(A, B))))",8305
202,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))), difference(difference(A, B), index(cardinality(B), A)))",8212
