expression,force,flavor,can_express,lexical,polarity,syntactically_negated,full_form,notes
saamaat... dai,strong,circumstantial,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak,circumstantial,1,FALSE,positive,no,saamaat... dai,
saamaat... dai,strong,bouletic,?,FALSE,positive,no,saamaat... dai,
Yark,strong,epistemic,?,,positive,no,Yark,
Yark,weak necessity,epistemic,?,,positive,no,Yark,
Yark,weak,epistemic,?,,positive,no,Yark,
Yark,strong,deontic,?,,positive,no,Yark,
Yark,weak necessity,deontic,?,,positive,no,Yark,
Yark,weak,deontic,?,,positive,no,Yark,
Yark,strong,teleological,?,,positive,no,Yark,
Yark,weak necessity,teleological,?,,positive,no,Yark,
Yark,weak,teleological,?,,positive,no,Yark,
Yark,strong,circumstantial,?,,positive,no,Yark,
Yark,weak,circumstantial,?,,positive,no,Yark,
Yark,strong,bouletic,1,,positive,no,Yark,
... dai,strong,epistemic,?,,negative,yes,... mai dai,
... dai,weak necessity,epistemic,?,,negative,yes,... mai dai,
... dai,weak,epistemic,1,,negative,yes,... mai dai,
... dai,strong,deontic,?,,negative,yes,... mai dai,
... dai,weak necessity,deontic,?,,negative,yes,... mai dai,
... dai,weak,deontic,1,,negative,yes,... mai dai,
... dai,strong,teleological,?,,negative,yes,... mai dai,
... dai,weak necessity,teleological,?,,negative,yes,... mai dai,
... dai,weak,teleological,1,,negative,yes,... mai dai,
... dai,strong,circumstantial,?,,negative,yes,... mai dai,
... dai,weak,circumstantial,1,,negative,yes,... mai dai,
... dai,strong,bouletic,?,,negative,yes,... mai dai,
saamaat... dai,strong,epistemic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,epistemic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,epistemic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,deontic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,deontic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,deontic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,teleological,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak necessity,teleological,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,teleological,1,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,circumstantial,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,weak,circumstantial,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,bouletic,?,FALSE,negative,yes,saamaat... mai dai,negation on sentence final particle
saamaat... dai,strong,epistemic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,epistemic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,epistemic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,deontic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,deontic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,deontic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,teleological,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak necessity,teleological,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,teleological,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,circumstantial,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,weak,circumstantial,1,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
saamaat... dai,strong,bouletic,?,FALSE,negative,yes,mai saamaat... dai,negation on modal verb
Harm,strong,epistemic,0,,negative,no (?),harm,
Harm,weak necessity,epistemic,?,,negative,no,harm,
Harm,weak,epistemic,?,,negative,no,harm,
Harm,strong,deontic,?,,negative,no,harm,
Harm,weak necessity,deontic,?,,negative,no,harm,
Harm,weak,deontic,1,,negative,no,harm,
Harm,strong,teleological,?,,negative,no,harm,
Harm,weak necessity,teleological,?,,negative,no,harm,
Harm,weak,teleological,1,,negative,no,harm,
Harm,strong,circumstantial,?,,negative,no,harm,
Harm,weak,circumstantial,0,,negative,no,harm,
Harm,strong,bouletic,?,,negative,no,harm,
Aat ca,strong,epistemic,1,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,epistemic,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak,epistemic,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,strong,deontic,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,deontic,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
Aat ca,weak,deontic,?,FALSE,negative,yes,aat ca mai+v,negation on main verb
