name,comm_cost,complexity,type,naturalness,optimality
explored-83,0.32740740740740737,44,explored,0.2,0.9229429115127552
explored-84,0.4562962962962962,16,explored,0.5,0.931848634035053
explored-85,0.529320987654321,36,explored,0.75,0.8241020060458744
explored-86,0.26314814814814813,19,explored,0.75,0.9999225839587341
explored-87,0.3244444444444444,53,explored,0.4,0.9071418967725423
explored-88,0.29331275720164607,69,explored,0.375,0.8898570071203865
explored-89,0.2727314814814815,89,explored,0.4,0.8457217513898998
explored-90,0.31000000000000005,36,explored,0.6,0.9444540755835996
explored-91,0.4343653198653198,93,explored,0.0,0.7378544982445265
explored-92,0.37370370370370365,14,explored,1.0,0.9638517428869621
explored-93,0.5384362139917697,20,explored,0.6666666666666666,0.9082430243728946
explored-94,0.24240740740740752,64,explored,0.5,0.9343826266492034
explored-95,0.31938271604938273,56,explored,0.42857142857142855,0.9074343608645702
explored-96,0.5298302469135803,103,explored,0.2222222222222222,0.6525950400214884
explored-97,0.7733333333333333,6,explored,0.0,0.9754342179637959
explored-98,0.3870370370370372,46,explored,0.4,0.8795200312499976
explored-99,0.3727777777777779,22,explored,0.3333333333333333,0.9358017800370755
explored-100,0.38101010101010113,28,explored,0.3333333333333333,0.9151303718298753
explored-101,0.42980820105820094,31,explored,0.6666666666666666,0.8779304659597895
explored-102,0.41328042328042325,22,explored,0.6666666666666666,0.9132160347551949
explored-103,0.5382716049382716,27,explored,0.3333333333333333,0.8713331822184474
explored-104,0.38814814814814824,38,explored,0.75,0.8887014702162004
explored-105,0.41048868312757214,108,explored,0.0,0.7097965896209657
explored-106,0.27643097643097647,80,explored,0.375,0.8689061091121127
explored-107,0.4345141895141895,88,explored,0.14285714285714285,0.7518738363141355
explored-108,0.42354497354497345,43,explored,0.2,0.8592547267929377
explored-109,0.31148148148148147,32,explored,0.6,0.9488674158911808
explored-110,0.5089506172839506,19,explored,1.0,0.9142733510546912
explored-111,0.30000000000000004,34,explored,0.6666666666666666,0.9518078523226482
explored-112,0.4305836139169473,15,explored,0.5,0.9391667853739512
explored-113,0.3872786195286195,86,explored,0.7777777777777778,0.7857416974880553
explored-114,0.6475308641975309,15,explored,0.5,0.9318097215312091
explored-115,0.38780864197530873,14,explored,0.6666666666666666,0.9585307959338423
explored-116,0.3111111111111112,33,explored,0.75,0.9462062617930023
explored-117,0.41885839160839156,64,explored,1.0,0.8267920077624943
explored-118,0.39842592592592596,60,explored,0.2,0.8477884903776804
explored-119,0.4438271604938273,47,explored,0.3333333333333333,0.8395275605090764
explored-120,0.4622222222222223,31,explored,0.3333333333333333,0.8583898568629384
explored-121,0.3033730158730158,59,explored,0.8,0.9118661784556636
explored-122,0.3478956228956229,73,explored,0.375,0.8459556458844766
explored-123,0.31212962962962965,42,explored,0.5,0.9363088003941371
explored-124,0.260925925925926,83,explored,0.375,0.8697058518183226
explored-125,0.6617283950617285,13,explored,0.5,0.9419921814172283
