expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
li-ka eps-,weak necessity,deontic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak,deontic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,strong,teleological,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak necessity,teleological,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak,teleological,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,strong,circumstantial,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak,circumstantial,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,strong,bouletic,?,negative,yes,li-ka eps-...-ta,
-myeon an-toy-,strong,epistemic,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak necessity,epistemic,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak,epistemic,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,strong,deontic,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak necessity,deontic,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak,deontic,1,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,strong,teleological,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak necessity,teleological,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak,teleological,1,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,strong,circumstantial,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,weak,circumstantial,?,negative,yes,V-myeon an-toy-...-ta,
-myeon an-toy-,strong,bouletic,?,negative,yes,V-myeon an-toy-...-ta,
swu + eps-,strong,epistemic,?,negative,yes,swu eps-...-ta,
swu + eps-,weak necessity,epistemic,?,negative,yes,swu eps-...-ta,
swu + eps-,weak,epistemic,?,negative,yes,swu eps-...-ta,
swu + eps-,strong,deontic,?,negative,yes,swu eps-...-ta,
swu + eps-,weak necessity,deontic,?,negative,yes,swu eps-...-ta,
swu + eps-,weak,deontic,?,negative,yes,swu eps-...-ta,
swu + eps-,strong,teleological,?,negative,yes,swu eps-...-ta,
swu + eps-,weak necessity,teleological,?,negative,yes,swu eps-...-ta,
swu + eps-,weak,teleological,?,negative,yes,swu eps-...-ta,
swu + eps-,strong,circumstantial,?,negative,yes,swu eps-...-ta,
swu + eps-,weak,circumstantial,1,negative,yes,swu eps-...-ta,
swu + eps-,strong,bouletic,?,negative,yes,swu eps-...-ta,
an -myeon an-toy-,strong,epistemic,?,positive,yes,an V-myeon an-toy-...-ta,double negated
an -myeon an-toy-,weak necessity,epistemic,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,weak,epistemic,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,strong,deontic,1,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,weak necessity,deontic,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,weak,deontic,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,strong,teleological,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,weak necessity,teleological,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,weak,teleological,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,strong,circumstantial,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,weak,circumstantial,?,positive,yes,an V-myeon an-toy-...-ta,
an -myeon an-toy-,strong,bouletic,?,positive,yes,an V-myeon an-toy-...-ta,
