,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
116,müleafu- [...] V-al,weak,teleological,?,positive,no,müleafu-CONJ + [...] + V*-al,
117,müleafu- [...] V-al,weak,teleological,?,positive,no,müleafu-CONJ + [...] + V*-al,
118,müleafu- [...] V-al,strong,circumstantial,?,positive,no,müleafu-CONJ + [...] + V*-al,
119,müleafu- [...] V-al,weak,circumstantial,?,positive,no,müleafu-CONJ + [...] + V*-al,
120,müleafu- [...] V-al,strong,bouletic,?,positive,no,müleafu-CONJ + [...] + V*-al,
121,pepi-_-a-,strong,epistemic,?,positive,no,pepi-V*-(y)a-CONJ,
122,pepi-_-a-,weak necessity,epistemic,?,positive,no,pepi-V*-(y)a-CONJ,
123,pepi-_-a-,weak,epistemic,?,positive,no,pepi-V*-(y)a-CONJ,
124,pepi-_-a-,strong,deontic,?,positive,no,pepi-V*-(y)a-CONJ,
125,pepi-_-a-,weak necessity,deontic,?,positive,no,pepi-V*-(y)a-CONJ,
126,pepi-_-a-,weak,deontic,1,positive,no,pepi-V*-(y)a-CONJ,
127,pepi-_-a-,weak,deontic,?,positive,no,pepi-V*-(y)a-CONJ,
128,pepi-_-a-,strong,teleological,?,positive,no,pepi-V*-(y)a-CONJ,
129,pepi-_-a-,weak necessity,teleological,?,positive,no,pepi-V*-(y)a-CONJ,
130,pepi-_-a-,weak,teleological,?,positive,no,pepi-V*-(y)a-CONJ,
131,pepi-_-a-,weak,teleological,?,positive,no,pepi-V*-(y)a-CONJ,
132,pepi-_-a-,strong,circumstantial,?,positive,no,pepi-V*-(y)a-CONJ,
133,pepi-_-a-,weak,circumstantial,?,positive,no,pepi-V*-(y)a-CONJ,
134,pepi-_-a-,strong,bouletic,?,positive,no,pepi-V*-(y)a-CONJ,
135,müleyafu- + _-a-,strong,epistemic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
136,müleyafu- + _-a-,weak necessity,epistemic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
137,müleyafu- + _-a-,weak,epistemic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
138,müleyafu- + _-a-,strong,deontic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
139,müleyafu- + _-a-,weak necessity,deontic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
140,müleyafu- + _-a-,weak,deontic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
141,müleyafu- + _-a-,weak,deontic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
142,müleyafu- + _-a-,strong,teleological,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
143,müleyafu- + _-a-,weak necessity,teleological,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
144,müleyafu- + _-a-,weak,teleological,1,positive,no,müleyafu-CONJ + V*-a-CONJ,
145,müleyafu- + _-a-,weak,teleological,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
146,müleyafu- + _-a-,strong,circumstantial,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
147,müleyafu- + _-a-,weak,circumstantial,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
148,müleyafu- + _-a-,strong,bouletic,?,positive,no,müleyafu-CONJ + V*-a-CONJ,
149,pepi-,strong,epistemic,?,positive,no,pepi-V*,
150,pepi-,weak necessity,epistemic,?,positive,no,pepi-V*,
151,pepi-,weak,epistemic,?,positive,no,pepi-V*,
152,pepi-,strong,deontic,?,positive,no,pepi-V*,
153,pepi-,weak necessity,deontic,?,positive,no,pepi-V*,
154,pepi-,weak,deontic,?,positive,no,pepi-V*,
155,pepi-,weak,deontic,?,positive,no,pepi-V*,
156,pepi-,strong,teleological,?,positive,no,pepi-V*,
157,pepi-,weak necessity,teleological,?,positive,no,pepi-V*,
158,pepi-,weak,teleological,?,positive,no,pepi-V*,
159,pepi-,weak,teleological,?,positive,no,pepi-V*,
160,pepi-,strong,circumstantial,?,positive,no,pepi-V*,
161,pepi-,weak,circumstantial,1,positive,no,pepi-V*,
162,pepi-,strong,bouletic,?,positive,no,pepi-V*,
163,müley...V-la-al,strong,epistemic,?,negative,high,müley [...] V*-la-(y)al,
164,müley...V-la-al,weak necessity,epistemic,?,negative,high,müley [...] V*-la-(y)al,
165,müley...V-la-al,weak,epistemic,?,negative,high,müley [...] V*-la-(y)al,
166,müley...V-la-al,strong,deontic,1,negative,high,müley [...] V*-la-(y)al,
167,müley...V-la-al,weak necessity,deontic,?,negative,high,müley [...] V*-la-(y)al,
168,müley...V-la-al,weak,deontic,?,negative,high,müley [...] V*-la-(y)al,
169,müley...V-la-al,weak,deontic,?,negative,high,müley [...] V*-la-(y)al,
170,müley...V-la-al,strong,teleological,?,negative,high,müley [...] V*-la-(y)al,
171,müley...V-la-al,weak necessity,teleological,?,negative,high,müley [...] V*-la-(y)al,
172,müley...V-la-al,weak,teleological,?,negative,high,müley [...] V*-la-(y)al,
173,müley...V-la-al,weak,teleological,?,negative,high,müley [...] V*-la-(y)al,
174,müley...V-la-al,strong,circumstantial,?,negative,high,müley [...] V*-la-(y)al,
175,müley...V-la-al,weak,circumstantial,?,negative,high,müley [...] V*-la-(y)al,
176,müley...V-la-al,strong,bouletic,?,negative,high,müley [...] V*-la-(y)al,
177,duam-la-CONJ V*-a-...,strong,epistemic,?,negative,high,duam-la-CONJ V*-a-...,
178,duam-la-CONJ V*-a-...,weak necessity,epistemic,?,negative,high,duam-la-CONJ V*-a-...,
179,duam-la-CONJ V*-a-...,weak,epistemic,?,negative,high,duam-la-CONJ V*-a-...,
180,duam-la-CONJ V*-a-...,strong,deontic,?,negative,high,duam-la-CONJ V*-a-...,
181,duam-la-CONJ V*-a-...,weak necessity,deontic,?,negative,high,duam-la-CONJ V*-a-...,
182,duam-la-CONJ V*-a-...,weak,deontic,?,negative,high,duam-la-CONJ V*-a-...,
183,duam-la-CONJ V*-a-...,weak,deontic,?,negative,high,duam-la-CONJ V*-a-...,
184,duam-la-CONJ V*-a-...,strong,teleological,?,negative,high,duam-la-CONJ V*-a-...,
185,duam-la-CONJ V*-a-...,weak necessity,teleological,1,negative,high,duam-la-CONJ V*-a-...,
186,duam-la-CONJ V*-a-...,weak,teleological,?,negative,high,duam-la-CONJ V*-a-...,
