name,comm_cost,complexity,type,commutative
explored-145,0.5321428571428571,24,explored,False
explored-146,0.17142857142857137,20,explored,False
explored-147,0.37215147989267594,24,explored,False
explored-148,0.5294411623067447,34,explored,False
explored-149,0.5425029373001986,34,explored,False
explored-150,0.5045037344997966,29,explored,False
explored-151,0.3494763643482808,34,explored,False
explored-152,0.5021401204159824,29,explored,False
explored-153,0.444062300709007,24,explored,False
explored-154,0.3407138468165609,41,explored,False
explored-155,0.3803289725769853,45,explored,False
explored-156,0.284274193548387,19,explored,False
explored-157,0.4312691506052926,39,explored,False
explored-158,0.3850067803682262,30,explored,False
explored-159,0.351306260652991,37,explored,False
explored-160,0.4206852059793236,41,explored,False
explored-161,0.36606004003492765,28,explored,False
explored-162,0.4820582497212932,30,explored,False
explored-163,0.3583486443369964,27,explored,False
explored-164,0.40946487011373334,34,explored,False
explored-165,0.3410273384203345,33,explored,False
explored-166,0.3889918221313571,38,explored,False
explored-167,0.5085851648351648,17,explored,False
explored-168,0.3294209702660408,31,explored,False
explored-169,0.5110980791360539,25,explored,False
explored-170,0.38800699821322215,32,explored,False
explored-171,0.28036298563821505,30,explored,False
explored-172,0.37246865600524126,35,explored,False
explored-173,0.2923099078341014,36,explored,False
explored-174,0.42064844877344876,27,explored,False
explored-175,0.5502479500075343,16,explored,False
explored-176,0.4141319275733655,28,explored,False
explored-177,0.39408316164771806,26,explored,False
explored-178,0.366662049958014,38,explored,False
explored-179,0.43125,20,explored,False
explored-180,0.5044448143806751,32,explored,False
explored-181,0.40058504427362074,15,explored,False
explored-182,0.5314932351380713,21,explored,False
explored-183,0.3530570663771422,38,explored,False
explored-184,0.38645145055478813,48,explored,False
explored-185,0.5732572293131298,28,explored,False
explored-186,0.35776579352850535,32,explored,False
explored-187,0.4326583710407239,28,explored,False
explored-188,0.3988728470111449,28,explored,False
explored-189,0.33407172125512197,37,explored,False
explored-190,0.19999999999999996,25,explored,False
explored-191,0.25476190476190474,16,explored,False
explored-192,0.4962608686240717,33,explored,False
explored-193,0.5397793989378601,24,explored,False
explored-194,0.40395899663131685,41,explored,False
explored-195,0.32547952478927455,13,explored,False
explored-196,0.37246865600524137,42,explored,False
explored-197,0.32499999999999996,22,explored,False
explored-198,0.3933035714285713,28,explored,False
explored-199,0.4429037791134971,40,explored,False
explored-200,0.3910015221908456,28,explored,False
explored-201,0.43543304772077773,37,explored,False
explored-202,0.5125,15,explored,False
explored-203,0.4503989823682918,27,explored,False
explored-204,0.3036198219125048,27,explored,False
explored-205,0.4714647378830509,25,explored,False
explored-206,0.5547143953485143,21,explored,False
explored-207,0.2933183004984572,28,explored,False
explored-208,0.35872071464689026,22,explored,False
explored-209,0.4962608686240717,26,explored,False
explored-210,0.37257175660160735,24,explored,False
explored-211,0.5777710843373494,9,explored,False
explored-212,0.38174496903882205,27,explored,False
explored-213,0.38852325211020855,27,explored,False
explored-214,0.39556025645087445,36,explored,False
explored-215,0.3440157290411955,31,explored,False
explored-216,0.3880999866414524,34,explored,False
explored-217,0.3670289855072464,21,explored,False
explored-218,0.44302454696087246,38,explored,False
explored-219,0.4904192003380258,36,explored,False
explored-220,0.37215147989267605,18,explored,False
explored-221,0.38961038961038963,34,explored,False
explored-222,0.36892884649349345,27,explored,False
explored-223,0.3845527010214831,29,explored,False
explored-224,0.35698610234213946,21,explored,False
explored-225,0.3610970564244216,35,explored,False
explored-226,0.5875371596998431,23,explored,False
explored-227,0.48105404400298746,23,explored,False
explored-228,0.478651532543253,38,explored,False
explored-229,0.485211077412229,25,explored,False
explored-230,0.47226749705901805,33,explored,False
explored-231,0.402766233567744,30,explored,False
explored-232,0.31658327102553174,41,explored,False
explored-233,0.36892884649349345,31,explored,False
explored-234,0.43458015065692024,29,explored,False
explored-235,0.5125,14,explored,True
explored-236,0.35949335046829056,49,explored,False
explored-237,0.34168591961749484,32,explored,False
explored-238,0.3602194144989136,23,explored,False
explored-239,0.41081485691757114,42,explored,False
explored-240,0.5362488898903007,38,explored,False
explored-241,0.3827212797021339,39,explored,False
explored-242,0.4811539035676966,27,explored,False
explored-243,0.6219309177729968,19,explored,False
explored-244,0.4244498719733092,30,explored,False
explored-245,0.3361675006958952,20,explored,False
explored-246,0.4868606717536679,24,explored,False
explored-247,0.3727173913043478,35,explored,False
explored-248,0.5273769440436107,29,explored,False
explored-249,0.3869849941271146,40,explored,False
explored-250,0.3883082497212932,31,explored,False
explored-251,0.275002215526409,34,explored,False
explored-252,0.4510363408151199,30,explored,False
explored-253,0.41078183675723434,39,explored,False
explored-254,0.45074549259192764,39,explored,False
explored-255,0.32781100478468905,24,explored,False
explored-256,0.46810604931172306,39,explored,False
explored-257,0.125,24,explored,False
explored-258,0.47196275946275945,44,explored,False
explored-259,0.36908693050208874,36,explored,False
explored-260,0.3460318415486481,40,explored,False
explored-261,0.4237658005611705,43,explored,False
explored-262,0.45988897961437725,26,explored,False
explored-263,0.3440157290411955,28,explored,False
explored-264,0.36034923714613276,26,explored,False
explored-265,0.4449734610799687,24,explored,False
