language,complexity,accuracy,distortion
52,3.1848503508005983,0.4361202665167916,1.0989130505121576
53,2.888191334234528,0.1946393544224687,1.3403939626064805
54,2.980816367843925,0.2751485790757249,1.2598847379532243
55,1.5160878831185762,0.0486017167045123,1.4864316003244369
56,2.6099831576322607,0.14716959966688847,1.3878637173620607
57,3.500715172936486,0.5027308116657476,1.0323025053632016
58,2.207107848586107,0.37323749404599393,1.1617958229829553
59,4.122758203047617,0.7635842610096057,0.7714490560193434
60,2.890266438791649,0.41206208914399856,1.1229712278849506
61,3.0465790294566784,0.3631723965486806,1.1718609204802686
62,4.928535876217101,0.8038093081055697,0.7312240089233795
63,3.383541154786773,0.5962403011877742,0.938793015841175
64,3.4676165607139833,0.3655565469037052,1.169476770125244
65,1.6737766378670536,0.06379501490312123,1.471238302125828
66,1.7767790673486052,0.12343869897118465,1.4115946180577645
67,3.9547725132955343,0.3074255438308118,1.2276077731981374
68,2.935469668042888,0.33758714858475347,1.1974461684441957
69,2.1280643178251175,0.13181551807385894,1.4032177989550902
70,3.9896109523605876,0.6764645115241033,0.8585688055048459
71,2.77849158507267,0.2502565556726619,1.2847767613562873
72,3.5881646490196175,0.644065716765204,0.8909676002637452
73,1.7659114400351719,0.10447676811820905,1.4305565489107401
74,1.704941523485795,0.12910524409679258,1.4059280729321566
75,2.715329253839281,0.4125484442817777,1.1224848727471715
76,2.8517374276924485,0.40254582825285734,1.1324874887760918
77,1.7348231647347259,0.07723594129035716,1.457797375738592
78,3.1512809864142195,0.35210311603527256,1.1829302009936766
79,2.576532743132578,0.19402560576754713,1.341007711261402
80,3.236823734325494,0.24290449342847076,1.2921288236004784
81,2.6823745923883777,0.18692740939808417,1.348105907630865
82,2.845158624584826,0.24150479733077557,1.2935285196981736
83,2.8515636470580787,0.6939726549167489,0.8410606621122003
84,3.3411555432309683,0.42707684322191497,1.1079564738070342
85,2.8664863378716463,0.5849707862284337,0.9500625308005155
86,3.163779342442556,0.1959929719978053,1.3390403450311439
87,2.35950160751403,0.17125317812125385,1.3637801389076953
88,4.033581375274814,0.42879647297424306,1.1062368440547061
89,1.7065710147982962,0.07103390206913307,1.4639994149598161
90,1.6273892842155853,0.05804798464224614,1.476985332386703
91,3.46135378792334,0.3149157463775687,1.2201175706513805
92,2.8437418492175315,0.19725564915035054,1.3377776678785986
93,2.514430523292951,0.19694507232174896,1.3380882447072002
94,2.1808244887968478,0.11881267656520222,1.416220640463747
95,2.7867226531054,0.41076873263068325,1.124264584398266
96,2.373926563758742,0.3417977146872824,1.1932356023416668
97,2.8375725159501624,0.5632792675606169,0.9717540494683323
98,2.240597140399922,0.17973133991327206,1.3553019771156771
99,1.3848442005513508,0.07259029830105934,1.4624430187278898
100,1.8433652824767055,0.12331075253247192,1.4117225644964773
101,1.9086881537302087,0.18398528575467132,1.3510480312742779
102,2.8996836574730533,0.31845297447518295,1.2165803425537662
103,3.792179970458637,0.44956724815284055,1.0854660688761086
104,2.028908743042356,0.1658941105389964,1.3691392064899528
105,1.3402366912576902,0.07229392621893593,1.4627393908100133
106,2.6106438153431597,0.1777761882195037,1.3572571288094455
107,2.9513829286006388,0.2432996023219287,1.2917337147070205
108,1.826740250001615,0.08164063056540538,1.4533926864635438
109,3.435905654664646,0.23987522882821022,1.295158088200739
110,2.865653915247714,0.29505681518868165,1.2399765018402675
