name,comm_cost,complexity,type,degree_conn
explored-121,0.8983285642912295,28,explored,1.0
explored-122,0.9776876958713722,19,explored,1.0
explored-123,0.8916355289746318,70,explored,0.75
explored-124,0.8978000765642133,52,explored,0.8333333333333334
explored-125,0.9255375289724046,60,explored,0.8571428571428571
explored-126,0.8997802190327779,96,explored,0.6
explored-127,0.9133391243130309,55,explored,0.8333333333333334
explored-128,0.8565184118188615,72,explored,0.75
explored-129,0.8612174412845485,63,explored,0.8571428571428571
explored-130,0.9637325702865968,30,explored,1.0
explored-131,0.8781433113930424,94,explored,0.8
explored-132,0.9878730072216924,10,explored,1.0
explored-133,0.9322614052311559,64,explored,0.8571428571428571
explored-134,0.8621065540264341,25,explored,1.0
explored-135,0.900623322169711,55,explored,0.8333333333333334
explored-136,0.8912204205840941,28,explored,1.0
explored-137,0.9203538219544989,59,explored,0.5
explored-138,0.8838530995356766,82,explored,0.9
explored-139,0.8432680138484923,67,explored,0.75
explored-140,0.8473565880910205,22,explored,1.0
explored-141,0.9406187719217223,55,explored,0.8333333333333334
explored-142,0.9599980822899477,19,explored,0.5
explored-143,0.8957362857790594,90,explored,0.5
explored-144,0.7975564336648953,50,explored,1.0
explored-145,0.8895559870403174,40,explored,1.0
explored-146,0.9328140907597452,76,explored,0.75
explored-147,0.7689807875732388,65,explored,1.0
explored-148,0.8949358261040711,65,explored,0.7142857142857143
explored-149,0.9540271512682783,20,explored,0.5
explored-150,0.9648185817452748,18,explored,0.5
explored-151,0.9246708820240637,84,explored,0.7777777777777778
explored-152,0.9200043486357338,86,explored,0.5555555555555556
explored-153,0.9377834299758268,21,explored,0.6666666666666666
explored-154,0.9222504195320361,93,explored,0.6
explored-155,0.9366800428270871,34,explored,0.75
explored-156,0.9677824711208006,20,explored,0.5
explored-157,0.9682171656720401,44,explored,0.4
explored-158,0.9140245906238228,49,explored,0.6666666666666666
explored-159,0.9161386655765998,23,explored,1.0
explored-160,0.8223020847526912,37,explored,1.0
explored-161,0.8443783699608745,52,explored,1.0
explored-162,0.9496895001812325,16,explored,0.5
explored-163,0.8621313200303967,94,explored,0.7
explored-164,0.9788118272244175,9,explored,1.0
explored-165,0.8032885086966994,26,explored,0.3333333333333333
explored-166,0.8897638191992524,59,explored,0.8571428571428571
explored-167,0.910173172461972,46,explored,0.8
explored-168,0.9328046293232286,45,explored,0.8
explored-169,0.9326211891952352,73,explored,0.75
explored-170,0.9069793425431966,80,explored,0.75
explored-171,0.8413021055453608,86,explored,1.0
explored-172,0.8338322263243915,47,explored,0.8
explored-173,0.9571240405141481,9,explored,1.0
explored-174,0.9584560853694394,26,explored,0.6666666666666666
explored-175,0.8375300107014596,65,explored,0.7142857142857143
explored-176,0.9274599455103216,74,explored,0.75
explored-177,0.8027745605668347,27,explored,1.0
explored-178,0.92503084778206,94,explored,0.9
explored-179,0.9117981559703865,43,explored,1.0
explored-180,0.9251131555685991,77,explored,0.75
explored-181,0.8376028113045023,56,explored,0.8333333333333334
explored-182,0.8958135605057063,89,explored,0.9
explored-183,0.8098741881273561,33,explored,1.0
explored-184,0.9285158001451093,58,explored,0.8333333333333334
explored-185,0.9389510726306344,77,explored,0.875
explored-186,0.8748400508267216,91,explored,0.7
explored-187,0.8487496629588536,63,explored,1.0
explored-188,0.8921458172718563,50,explored,0.4
explored-189,0.9418315402356143,87,explored,0.7777777777777778
explored-190,0.9036559169987466,74,explored,0.625
explored-191,0.9694894853976472,30,explored,1.0
explored-192,0.8364320752146068,68,explored,1.0
explored-193,0.9856928736885134,10,explored,1.0
explored-194,0.9826270609074805,10,explored,1.0
explored-195,0.9285218235312614,48,explored,0.8333333333333334
explored-196,0.976438661034655,10,explored,1.0
explored-197,0.9423136775262405,94,explored,0.6
explored-198,0.8386607102304064,77,explored,1.0
explored-199,0.8819065874824593,78,explored,0.7777777777777778
explored-200,0.8875158470049858,65,explored,0.8571428571428571
explored-201,0.8172684743607213,24,explored,1.0
explored-202,0.9390778410469185,96,explored,0.6
explored-203,0.8933711610864994,47,explored,0.8
explored-204,0.8627672177559764,90,explored,0.9
explored-205,0.8856764475570996,66,explored,0.5714285714285714
explored-206,0.9222067437522361,50,explored,0.6666666666666666
explored-207,0.9110192662129503,26,explored,0.6666666666666666
explored-208,0.9185933082382343,39,explored,0.8
explored-209,0.9057856119444891,25,explored,1.0
explored-210,0.9008206583250867,70,explored,1.0
explored-211,0.8578489687793085,54,explored,0.5714285714285714
explored-212,0.8520273252902317,74,explored,0.7777777777777778
explored-213,0.8326246637699152,63,explored,0.8571428571428571
explored-214,0.942474264538899,51,explored,0.8333333333333334
explored-215,0.9573253312522968,25,explored,1.0
explored-216,0.8878619227134011,73,explored,1.0
explored-217,0.9099472629735608,52,explored,0.8333333333333334
explored-218,0.8175500749420902,38,explored,1.0
explored-219,0.8404168748391395,66,explored,1.0
explored-220,0.9439476330056396,37,explored,0.5
explored-221,0.8373795085428578,75,explored,0.6666666666666666
explored-222,0.8799717666179556,88,explored,0.8888888888888888
explored-223,0.9039009628923105,35,explored,1.0
explored-224,0.9383672086720867,48,explored,0.6
explored-225,0.8898901839122075,75,explored,0.75
explored-226,0.891870171029457,35,explored,0.75
explored-227,0.8808591088704183,31,explored,0.75
