name,comm_cost,complexity,type,degree_iff,distance
explored-159,0.28583549971114974,20,explored,0.8,0.16407808052315928
explored-160,0.2859618717504334,12,explored,1.0,0.09070053968317361
explored-161,0.14222270363951495,18,explored,0.8333333333333334,0.07936989635619665
explored-162,0.2382474003466205,23,explored,0.7142857142857143,0.16741334982580577
explored-163,0.6392258809936453,4,explored,1.0,0.05986154390342814
explored-164,0.3409276911226653,15,explored,0.6,0.1385631832319701
explored-165,0.4843687816933052,15,explored,0.6,0.16016751474552052
explored-166,0.5634748700173311,11,explored,0.3333333333333333,0.10677256951851376
explored-167,0.39814413633737744,10,explored,1.0,0.08792770998722725
explored-168,0.5123603889851724,14,explored,0.75,0.14496552085606826
explored-169,0.30065713460427523,17,explored,0.8,0.14064444214401622
explored-170,0.24632919314461788,18,explored,0.8333333333333334,0.13266516392222968
explored-171,0.4364079851081586,16,explored,0.6,0.15610665911402036
explored-172,0.28018486424032374,13,explored,1.0,0.09674012134547351
explored-173,0.24945840554592724,30,explored,0.7142857142857143,0.22016588108048363
explored-174,0.48614481032158696,12,explored,0.3333333333333333,0.13297415019258468
explored-175,0.20109402079722716,16,explored,0.8333333333333334,0.09628331678228876
explored-176,0.20345898324667844,22,explored,0.8333333333333334,0.14022038817143379
explored-177,0.521162301816548,9,explored,0.6666666666666666,0.09318121122013973
explored-178,0.22910247769433234,29,explored,0.75,0.20209954114906634
explored-179,0.4755349749663009,22,explored,0.25,0.2251981370365878
explored-180,0.5586506675653125,9,explored,0.3333333333333333,0.08601801028586677
explored-181,0.39949812247255934,15,explored,0.6,0.14030470862042385
explored-182,0.3275803966878492,25,explored,0.6666666666666666,0.22515255184914154
explored-183,0.3896250561653509,19,explored,0.6666666666666666,0.18179270382863175
explored-184,0.2562403716541499,20,explored,0.8333333333333334,0.15484249492220054
explored-185,0.547147803132422,14,explored,0.3333333333333333,0.13942382057886143
explored-186,0.35201232428268836,10,explored,0.6666666666666666,0.08858855140020616
explored-187,0.3611526333525902,15,explored,0.6666666666666666,0.1398682449893185
explored-188,0.39077845176198744,22,explored,0.6,0.2134586472521482
explored-189,0.4832165896399,10,explored,0.6666666666666666,0.1160078225019896
explored-190,0.27608679953783943,21,explored,0.8571428571428571,0.17037484729358818
explored-191,0.6490018614801978,6,explored,0.6666666666666666,0.07865322045287271
explored-192,0.4097944348160987,18,explored,0.8,0.17267840384470529
explored-193,0.27517812439822853,11,explored,0.8,0.07762958032493242
explored-194,0.5551363213299956,12,explored,0.3333333333333333,0.11777697007496155
explored-195,0.33894685955452863,17,explored,0.8,0.1560604052537805
explored-196,0.2324764105526672,17,explored,0.8333333333333334,0.11889673580796371
explored-197,0.23335499711149632,16,explored,0.8,0.1095286365880268
explored-198,0.22351001347968436,25,explored,0.7142857142857143,0.17100431408306474
explored-199,0.34488734835355295,10,explored,1.0,0.08984813158997136
explored-200,0.222083814750626,15,explored,0.8333333333333334,0.09680775646520508
explored-201,0.2739805988831119,36,explored,0.6666666666666666,0.2774522565238707
explored-202,0.3438402657423456,17,explored,0.6,0.15801570321154443
explored-203,0.2993934142114385,34,explored,0.75,0.2761020188271288
explored-204,0.1865612362796074,9,explored,1.0,0.028923550495901357
explored-205,0.34874470440978245,13,explored,0.6,0.12012224422715428
explored-206,0.4602108607741191,12,explored,1.0,0.12383011069834754
explored-207,0.43966156364336617,19,explored,0.6,0.18729462912509948
explored-208,0.6003514346235318,10,explored,0.6666666666666666,0.09842073879420436
explored-209,0.20049826689774708,13,explored,0.8,0.0705309923990399
explored-210,0.3637829770845371,14,explored,0.75,0.12919091603790986
explored-211,0.16892932794145987,15,explored,0.8,0.072056624680766
explored-212,0.42638527825919526,15,explored,0.5,0.14396788087641463
explored-213,0.3816110629693821,20,explored,0.6666666666666666,0.1921475559673987
explored-214,0.44075056967712956,18,explored,0.4,0.17729270596444888
explored-215,0.27699547467745056,20,explored,0.8571428571428571,0.16110747797562508
explored-216,0.14713316002310817,17,explored,1.0,0.07523750193933644
explored-217,0.47156889883817965,39,explored,0.375,0.3987503751239717
explored-218,0.32187158996084486,7,explored,1.0,0.0568911304034313
explored-219,0.323482331985365,8,explored,1.0,0.0662572730240867
explored-220,0.2548181847358626,18,explored,0.6666666666666666,0.13506439664893277
explored-221,0.3656123627960718,17,explored,0.75,0.16069657303012644
explored-222,0.45958501829385723,12,explored,0.6666666666666666,0.12360273112734975
explored-223,0.2736616599268247,11,explored,0.8,0.07692147610143184
explored-224,0.5213448392066243,16,explored,0.3333333333333333,0.16359886741991264
explored-225,0.5939674401437833,8,explored,0.3333333333333333,0.07679347800146161
explored-226,0.32494463701136156,9,explored,0.6666666666666666,0.07590149492380992
explored-227,0.5434158161627833,23,explored,0.6666666666666666,0.23416924512851933
explored-228,0.23724244174850773,12,explored,1.0,0.07315841704323202
explored-229,0.3997749374157522,19,explored,0.6,0.18231823500039804
explored-230,0.43162670903138856,12,explored,1.0,0.11488989233669206
explored-231,0.36898228384363585,8,explored,1.0,0.06577046779230698
explored-232,0.3556129244495797,20,explored,0.7142857142857143,0.18917588067877464
explored-233,0.4431325823223571,14,explored,0.3333333333333333,0.13763530906073698
explored-234,0.0686922299248991,16,explored,1.0,0.023040787518503875
explored-235,0.43477638166762966,22,explored,0.4,0.21739539440355032
explored-236,0.40447477373387275,12,explored,0.5,0.10953051577754828
explored-237,0.4176295012516852,12,explored,0.5,0.11171092567185496
explored-238,0.2654053533602929,28,explored,0.7142857142857143,0.21485256368945713
explored-239,0.22321514538802245,29,explored,0.75,0.19900368208667218
explored-240,0.23588243789716934,24,explored,0.8571428571428571,0.1719717722092607
explored-241,0.4111712882726748,6,explored,0.6666666666666666,0.05089217963884321
explored-242,0.34856417292509156,15,explored,0.6,0.14062689828013464
explored-243,0.2931500336992108,12,explored,1.0,0.09339517376546395
explored-244,0.44879645676872737,6,explored,0.6666666666666666,0.06889083772707533
explored-245,0.3794170036587715,13,explored,0.75,0.11825495442896236
explored-246,0.11576882341613737,23,explored,0.8333333333333334,0.09809662850738486
explored-247,0.2482969863277491,12,explored,1.0,0.07610026316327534
explored-248,0.3645863421914117,27,explored,0.625,0.25598109181397616
explored-249,0.4119277151935299,23,explored,0.6,0.2252305700651233
explored-250,0.2183257510109764,22,explored,0.8571428571428571,0.14933577607661605
explored-251,0.25184142114384755,25,explored,0.6666666666666666,0.18771814757959643
explored-252,0.27236484209512823,25,explored,0.8571428571428571,0.20006762241644144
explored-253,0.23857235701906432,17,explored,0.8,0.12076266223424265
explored-254,0.2011948175428464,37,explored,0.7777777777777778,0.24641369699059842
explored-255,0.27581449788176404,26,explored,0.5714285714285714,0.20822336159722682
explored-256,0.20060658578856172,23,explored,0.8333333333333334,0.14489478013310825
explored-257,0.5042003658771423,9,explored,0.6666666666666666,0.09882677399575042
explored-258,0.52999229732332,8,explored,0.5,0.08092614255976102
explored-259,0.17244367417677653,30,explored,0.875,0.1795629119499081
explored-260,0.25,7,explored,1.0,0.031777502521371036
explored-261,0.37955541113036806,37,explored,0.4444444444444444,0.3406787027403944
explored-262,0.4589872584889918,23,explored,0.4,0.2317455905748095
explored-263,0.4929111303678029,12,explored,0.6666666666666666,0.13068663294808308
explored-264,0.38640958983246687,13,explored,1.0,0.11843248195221726
explored-265,0.3766247833622185,27,explored,0.6666666666666666,0.2601350645368487
explored-266,0.4365877142306953,14,explored,0.5,0.13600742780880606
explored-267,0.4797192936003596,13,explored,0.25,0.1403073371961798
explored-268,0.40484486327748903,13,explored,0.5,0.1199684629569961
explored-269,0.457087666088966,10,explored,0.6666666666666666,0.1046741238953384
explored-270,0.28052787406123647,15,explored,0.8,0.11499128230127137
explored-271,0.36550003209448634,11,explored,1.0,0.09753414857388673
explored-272,0.36479395339880627,17,explored,0.8,0.16073040954916265
explored-273,0.3111279607163491,24,explored,0.6666666666666666,0.21013844663955478
explored-274,0.48887926054303876,13,explored,1.0,0.14148117208047414
explored-275,0.6375649913344889,8,explored,0.5,0.08948893902637894
explored-276,0.2504693818601965,17,explored,0.8333333333333334,0.12411840236341537
explored-277,0.241406701328712,17,explored,0.8,0.12151296561756789
explored-278,0.17132437897169273,14,explored,1.0,0.06583352692957394
explored-279,0.4571863566339305,9,explored,0.6666666666666666,0.09617194509404582
explored-280,0.4880127094165223,14,explored,0.75,0.15133570851279143
explored-281,0.2259459849797807,17,explored,0.8333333333333334,0.11660708410065018
explored-282,0.48585836703254404,16,explored,0.5,0.1699449182455739
explored-283,0.4955438811862123,17,explored,0.3333333333333333,0.17890833769249326
explored-284,0.11946370113614502,14,explored,0.75,0.03844487754234942
explored-285,0.38416558347775864,20,explored,0.6666666666666666,0.19218731459937163
explored-286,0.40940528917132046,13,explored,0.75,0.1205825549083289
explored-287,0.26458894986841275,15,explored,0.8571428571428571,0.1099423457398094
explored-288,0.15773637589062228,14,explored,0.75,0.05868146432735094
explored-289,0.8002238590410168,4,explored,1.0,0.04947870890575818
